iterID,x1,x2,x3,x4,Pareto_f1,Pareto_f2
0,47.0,52.0,74.0,79.0,126.0,252.0
0,63.0,59.0,79.0,43.0,137.0,244.0
0,63.0,25.0,68.0,76.0,152.0,232.0
0,48.0,66.0,38.0,64.0,165.0,216.0
0,51.0,40.0,32.0,75.0,184.0,198.0
0,38.0,38.0,41.0,68.0,205.0,185.0
0,25.0,38.0,47.0,65.0,215.0,175.0
0,43.0,19.0,30.0,78.0,224.0,170.0
0,44.0,14.0,35.0,74.0,226.0,167.0
0,24.0,47.0,24.0,66.0,245.0,161.0
0,26.0,43.0,46.0,42.0,249.0,157.0
0,21.0,15.0,49.0,63.0,257.0,148.0
0,15.0,42.0,37.0,52.0,279.0,146.0
0,41.0,21.0,43.0,39.0,301.0,144.0
0,46.0,26.0,27.0,39.0,319.0,138.0
0,28.0,45.0,12.0,44.0,320.0,129.0
0,29.0,49.0,29.0,21.0,341.0,128.0
0,14.0,44.0,14.0,39.0,354.0,111.0
0,35.0,33.0,10.0,15.0,413.0,93.0
0,21.0,23.0,22.0,25.0,419.0,91.0
1,80896.0,81920.0,81920.0,81920.0,95.0,319.0
1,47.0,52.0,74.0,79.0,126.0,252.0
1,63.0,59.0,79.0,43.0,137.0,244.0
1,63.0,25.0,68.0,76.0,152.0,232.0
1,48.0,66.0,38.0,64.0,165.0,216.0
1,51.0,40.0,32.0,75.0,184.0,198.0
1,38.0,38.0,41.0,68.0,205.0,185.0
1,25.0,38.0,47.0,65.0,215.0,175.0
1,43.0,19.0,30.0,78.0,224.0,170.0
1,44.0,14.0,35.0,74.0,226.0,167.0
1,24.0,47.0,24.0,66.0,245.0,161.0
1,26.0,43.0,46.0,42.0,249.0,157.0
1,21.0,15.0,49.0,63.0,257.0,148.0
1,15.0,42.0,37.0,52.0,279.0,146.0
1,10240.0,11264.0,10240.0,81920.0,290.0,111.0
1,10240.0,10240.0,10240.0,81920.0,295.0,110.0
1,10240.0,10240.0,10240.0,79872.0,301.0,108.0
1,10240.0,10240.0,10240.0,60416.0,355.0,89.0
