iterID,x1,x2,x3,x4,Pareto_f1,Pareto_f2
0,76.0,60.0,50.0,77.0,119.0,263.0
0,73.0,47.0,61.0,77.0,122.0,258.0
0,47.0,52.0,74.0,79.0,134.0,252.0
0,71.0,31.0,67.0,75.0,137.0,244.0
0,63.0,25.0,68.0,76.0,151.0,232.0
0,48.0,66.0,38.0,64.0,162.0,216.0
0,51.0,40.0,32.0,75.0,166.0,198.0
0,36.0,66.0,17.0,71.0,191.0,190.0
0,51.0,39.0,18.0,69.0,197.0,177.0
0,43.0,19.0,30.0,78.0,203.0,170.0
0,44.0,14.0,35.0,74.0,217.0,167.0
0,24.0,47.0,24.0,66.0,235.0,161.0
0,26.0,43.0,46.0,42.0,256.0,157.0
0,45.0,35.0,26.0,45.0,260.0,151.0
0,21.0,15.0,49.0,63.0,266.0,148.0
0,15.0,42.0,37.0,52.0,273.0,146.0
0,41.0,21.0,43.0,39.0,282.0,144.0
0,46.0,26.0,27.0,39.0,290.0,138.0
0,28.0,45.0,12.0,44.0,291.0,129.0
0,29.0,49.0,29.0,21.0,325.0,128.0
0,14.0,44.0,14.0,39.0,347.0,111.0
0,35.0,33.0,10.0,15.0,400.0,93.0
0,21.0,23.0,22.0,25.0,410.0,91.0
1,76.0,60.0,50.0,77.0,119.0,263.0
1,76.0,60.0,50.0,77.0,119.0,263.0
1,73.0,47.0,61.0,77.0,122.0,258.0
1,73.0,47.0,61.0,77.0,122.0,258.0
1,47.0,52.0,74.0,79.0,134.0,252.0
1,71.0,31.0,67.0,75.0,137.0,244.0
1,71.0,31.0,67.0,75.0,137.0,244.0
1,63.0,25.0,68.0,76.0,151.0,232.0
1,63.0,25.0,68.0,76.0,151.0,232.0
1,48.0,66.0,38.0,64.0,162.0,216.0
1,48.0,66.0,38.0,64.0,162.0,216.0
1,51.0,40.0,32.0,75.0,166.0,198.0
1,36.0,66.0,17.0,71.0,191.0,190.0
1,51.0,39.0,18.0,69.0,197.0,177.0
1,43.0,19.0,30.0,78.0,203.0,170.0
1,44.0,14.0,35.0,74.0,217.0,167.0
1,24.0,47.0,24.0,66.0,235.0,161.0
1,26.0,43.0,46.0,42.0,256.0,157.0
1,45.0,35.0,26.0,45.0,260.0,151.0
1,45.0,35.0,26.0,45.0,260.0,151.0
1,21.0,15.0,49.0,63.0,266.0,148.0
1,15.0,42.0,37.0,52.0,273.0,146.0
1,41.0,21.0,43.0,39.0,282.0,144.0
1,46.0,26.0,27.0,39.0,290.0,138.0
1,46.0,26.0,27.0,39.0,290.0,138.0
1,28.0,45.0,12.0,44.0,291.0,129.0
1,28.0,45.0,12.0,44.0,291.0,129.0
1,29.0,49.0,29.0,21.0,325.0,128.0
1,14.0,44.0,14.0,39.0,347.0,111.0
1,14.0,44.0,14.0,39.0,347.0,111.0
1,35.0,33.0,10.0,15.0,400.0,93.0
1,35.0,33.0,10.0,15.0,400.0,93.0
1,21.0,23.0,22.0,25.0,410.0,91.0
2,76.0,60.0,50.0,77.0,119.0,263.0
2,76.0,60.0,50.0,77.0,119.0,263.0
2,73.0,47.0,61.0,77.0,122.0,258.0
2,73.0,47.0,61.0,77.0,122.0,258.0
2,73.0,47.0,61.0,77.0,122.0,258.0
2,47.0,52.0,74.0,79.0,134.0,252.0
2,47.0,52.0,74.0,79.0,134.0,252.0
2,71.0,31.0,67.0,75.0,137.0,244.0
2,71.0,31.0,67.0,75.0,137.0,244.0
2,71.0,31.0,67.0,75.0,137.0,244.0
2,63.0,25.0,68.0,76.0,151.0,232.0
2,63.0,25.0,68.0,76.0,151.0,232.0
2,63.0,25.0,68.0,76.0,151.0,232.0
2,48.0,66.0,38.0,64.0,162.0,216.0
2,48.0,66.0,38.0,64.0,162.0,216.0
2,51.0,40.0,32.0,75.0,166.0,198.0
2,51.0,40.0,32.0,75.0,166.0,198.0
2,36.0,66.0,17.0,71.0,191.0,190.0
2,51.0,39.0,18.0,69.0,197.0,177.0
2,43.0,19.0,30.0,78.0,203.0,170.0
2,44.0,14.0,35.0,74.0,217.0,167.0
2,24.0,47.0,24.0,66.0,235.0,161.0
2,26.0,43.0,46.0,42.0,256.0,157.0
2,45.0,35.0,26.0,45.0,260.0,151.0
2,45.0,35.0,26.0,45.0,260.0,151.0
2,21.0,15.0,49.0,63.0,266.0,148.0
2,15.0,42.0,37.0,52.0,273.0,146.0
2,41.0,21.0,43.0,39.0,282.0,144.0
2,46.0,26.0,27.0,39.0,290.0,138.0
2,46.0,26.0,27.0,39.0,290.0,138.0
2,28.0,45.0,12.0,44.0,291.0,129.0
2,28.0,45.0,12.0,44.0,291.0,129.0
2,28.0,45.0,12.0,44.0,291.0,129.0
2,29.0,49.0,29.0,21.0,325.0,128.0
2,14.0,44.0,14.0,39.0,347.0,111.0
2,14.0,44.0,14.0,39.0,347.0,111.0
2,14.0,44.0,14.0,39.0,347.0,111.0
2,35.0,33.0,10.0,15.0,400.0,93.0
2,35.0,33.0,10.0,15.0,400.0,93.0
2,35.0,33.0,10.0,15.0,400.0,93.0
2,21.0,23.0,22.0,25.0,410.0,91.0
2,21.0,23.0,22.0,25.0,410.0,91.0
3,76.0,60.0,50.0,77.0,119.0,263.0
3,76.0,60.0,50.0,77.0,119.0,263.0
3,76.0,60.0,50.0,77.0,119.0,263.0
3,73.0,47.0,61.0,77.0,122.0,258.0
3,73.0,47.0,61.0,77.0,122.0,258.0
3,73.0,47.0,61.0,77.0,122.0,258.0
3,73.0,47.0,61.0,77.0,122.0,258.0
3,47.0,52.0,74.0,79.0,134.0,252.0
3,47.0,52.0,74.0,79.0,134.0,252.0
3,71.0,31.0,67.0,75.0,137.0,244.0
3,71.0,31.0,67.0,75.0,137.0,244.0
3,71.0,31.0,67.0,75.0,137.0,244.0
3,71.0,31.0,67.0,75.0,137.0,244.0
3,63.0,25.0,68.0,76.0,151.0,232.0
3,63.0,25.0,68.0,76.0,151.0,232.0
3,63.0,25.0,68.0,76.0,151.0,232.0
3,63.0,25.0,68.0,76.0,151.0,232.0
3,48.0,66.0,38.0,64.0,162.0,216.0
3,48.0,66.0,38.0,64.0,162.0,216.0
3,51.0,40.0,32.0,75.0,166.0,198.0
3,51.0,40.0,32.0,75.0,166.0,198.0
