iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,Pareto_f1,Pareto_f2
0,127.0,664.0,760.0,108.0,571.0,239.0,285.0,589.0,503.0,354.0,311.0,399.0,266.0,58.0,5176.0
0,332.0,238.0,704.0,244.0,626.0,377.0,268.0,388.0,415.0,310.0,538.0,284.0,246.0,60.0,4970.0
0,733.0,110.0,171.0,134.0,455.0,465.0,687.0,483.0,158.0,246.0,125.0,420.0,188.0,62.0,4375.0
0,279.0,220.0,208.0,152.0,356.0,248.0,177.0,570.0,191.0,185.0,491.0,494.0,108.0,67.0,3679.0
1,284.0,758.0,611.0,305.0,512.0,274.0,151.0,188.0,715.0,146.0,165.0,645.0,278.0,56.0,5032.0
1,332.0,238.0,704.0,244.0,626.0,377.0,268.0,388.0,415.0,310.0,538.0,284.0,246.0,60.0,4970.0
1,733.0,110.0,171.0,134.0,455.0,465.0,687.0,483.0,158.0,246.0,125.0,420.0,188.0,62.0,4375.0
1,279.0,220.0,208.0,152.0,356.0,248.0,177.0,570.0,191.0,185.0,491.0,494.0,108.0,67.0,3679.0
2,284.0,758.0,611.0,305.0,512.0,274.0,151.0,188.0,715.0,146.0,165.0,645.0,278.0,56.0,5032.0
2,332.0,238.0,704.0,244.0,626.0,377.0,268.0,388.0,415.0,310.0,538.0,284.0,246.0,60.0,4970.0
2,647.0,276.0,242.0,600.0,215.0,360.0,656.0,280.0,460.0,246.0,105.0,467.0,123.0,61.0,4677.0
2,733.0,110.0,171.0,134.0,455.0,465.0,687.0,483.0,158.0,246.0,125.0,420.0,188.0,62.0,4375.0
2,279.0,220.0,208.0,152.0,356.0,248.0,177.0,570.0,191.0,185.0,491.0,494.0,108.0,67.0,3679.0
3,284.0,758.0,611.0,305.0,512.0,274.0,151.0,188.0,715.0,146.0,165.0,645.0,278.0,56.0,5032.0
3,332.0,238.0,704.0,244.0,626.0,377.0,268.0,388.0,415.0,310.0,538.0,284.0,246.0,60.0,4970.0
3,647.0,276.0,242.0,600.0,215.0,360.0,656.0,280.0,460.0,246.0,105.0,467.0,123.0,61.0,4677.0
3,733.0,110.0,171.0,134.0,455.0,465.0,687.0,483.0,158.0,246.0,125.0,420.0,188.0,62.0,4375.0
3,733.0,110.0,134.0,134.0,455.0,360.0,562.0,257.0,460.0,235.0,109.0,375.0,114.0,66.0,4038.0
