iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,ParetoFamily,Pareto_f1,Pareto_f2
1,434,607,324,338,280,712,113,305,403,388,601,424,125,0.0,-1237.5000534359401,13059.87392677807
1,286,253,398,118,761,789,562,707,403,642,288,203,307,0.0,-954.5951887071201,4796.498632427729
1,272,490,798,138,208,106,333,374,679,213,531,655,639,0.0,-902.3283180966029,-12949.116920063252
1,627,493,529,139,650,107,771,446,567,797,552,190,434,0.0,-874.3178724754022,-15444.92091071858
1,654,452,100,521,113,161,591,732,636,223,609,479,417,0.0,-829.993460454282,-26856.565596049008
1,245,283,620,218,203,163,754,405,371,667,473,303,369,0.0,-621.3932107970253,-31458.471572490784
1,252,452,557,450,113,161,591,643,636,603,609,479,244,0.0,-506.3561451528666,-39490.557481977565
1,728,311,291,104,688,643,585,654,730,657,191,560,231,0.0,-464.2675020446846,-42449.8960382924
1,627,493,503,148,650,107,194,430,498,689,443,182,118,0.0,-365.4244588171298,-46159.624687073076
1,434,536,536,435,298,702,121,305,618,404,106,206,327,0.0,-343.8060910406121,-47474.004674697935
1,251,142,666,448,738,334,249,403,520,180,165,285,306,0.0,-74.37299606907926,-48012.457004862394
1,181,730,496,487,471,546,715,673,722,213,231,175,242,0.0,-52.42516917755907,-49756.77878140025
2,384,798,197,400,654,396,361,714,541,665,677,537,369,0.0,-512.0034266739577,20457.057956729997
2,181,572,540,202,645,168,725,170,552,629,701,540,407,0.0,-509.6808021705626,-12755.42563039059
2,213,508,162,643,699,540,464,656,766,358,249,697,182,0.0,-494.1051153870263,-24777.75352587248
2,735,719,262,713,676,396,776,340,299,574,111,402,326,0.0,-459.70295821596534,-31777.08674835498
2,254,780,312,123,356,679,516,624,103,683,483,522,490,0.0,-439.35034976835175,-59580.77774800403
2,196,432,465,581,122,606,686,536,690,433,800,209,274,0.0,228.6621312864239,-60004.580073738136
3,145,561,662,711,495,113,470,455,665,440,441,570,790,0.0,-795.8965312826267,-6691.209653180481
3,155,265,630,160,191,526,266,682,247,182,688,772,237,0.0,-776.0083058423631,-15875.968524660986
3,235,196,656,239,800,503,475,446,210,429,581,760,607,0.0,-595.8298642903335,-16851.31097426562
3,156,265,614,280,481,405,163,785,296,615,686,705,776,0.0,-543.3251847432108,-19141.134631270714
3,183,291,779,273,481,663,477,800,280,639,761,470,776,0.0,-513.5727603432216,-24989.63135220573
3,283,287,653,247,732,573,469,658,329,658,531,294,791,0.0,-437.7170461739412,-35261.81576927804
3,800,353,687,790,729,162,726,758,789,776,614,645,773,0.0,-309.73057663209596,-45435.78533803771
3,144,187,137,556,703,564,676,800,607,184,764,759,597,0.0,-51.30368151340554,-46005.3736312177
3,800,500,778,774,800,696,796,800,800,785,609,800,800,0.0,253.236366080423,-50580.036929292924
4,489,443,746,577,253,790,527,466,217,793,795,138,784,0.0,-449.33014185013064,8879.96446570667
4,784,724,198,602,690,354,232,125,488,472,288,769,735,0.0,-433.00865339460904,6505.155930036653
4,795,731,293,603,639,726,525,628,280,729,279,424,797,0.0,-388.48780136758523,-1908.1813418915237
4,736,318,119,786,787,367,640,580,424,269,777,730,769,0.0,-354.7379455895716,-22262.895895335576
4,212,794,230,594,787,800,735,690,375,788,794,628,663,0.0,-301.39797527285396,-28314.48965336673
4,541,740,314,400,298,719,515,473,605,606,795,372,554,0.0,-137.26539240861013,-29252.774750645094
4,369,171,369,427,485,759,203,145,648,776,800,782,674,0.0,-115.6834281917081,-29511.465908358543
4,783,651,361,786,758,438,176,570,424,715,324,788,797,0.0,1.586803865367685,-34425.475760404566
4,800,800,790,800,800,800,800,800,800,800,800,800,800,0.0,198.25624641659,-38328.65642921368
