iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,Pareto_f1,Pareto_f2
0,516.0,267.0,398.0,117.0,521.0,521.0,113.0,162.0,301.0,655.0,408.0,240.0,783.0,56.0,5002.0
0,506.0,306.0,136.0,229.0,742.0,475.0,117.0,732.0,737.0,243.0,133.0,270.0,219.0,67.0,4845.0
0,216.0,488.0,744.0,708.0,363.0,170.0,189.0,208.0,320.0,178.0,426.0,348.0,104.0,73.0,4462.0
0,158.0,544.0,388.0,270.0,500.0,182.0,436.0,190.0,139.0,251.0,363.0,641.0,162.0,75.0,4224.0
0,453.0,360.0,509.0,202.0,158.0,251.0,174.0,425.0,436.0,163.0,298.0,118.0,542.0,81.0,4089.0
0,126.0,141.0,171.0,299.0,306.0,466.0,168.0,142.0,547.0,508.0,176.0,355.0,444.0,83.0,3849.0
1,516.0,267.0,398.0,117.0,521.0,521.0,113.0,162.0,301.0,655.0,408.0,240.0,783.0,56.0,5002.0
1,506.0,306.0,136.0,229.0,742.0,475.0,117.0,732.0,737.0,243.0,133.0,270.0,219.0,67.0,4845.0
1,216.0,488.0,744.0,708.0,363.0,170.0,189.0,208.0,320.0,178.0,426.0,348.0,104.0,73.0,4462.0
1,158.0,544.0,388.0,270.0,500.0,182.0,436.0,190.0,139.0,251.0,363.0,641.0,162.0,75.0,4224.0
1,453.0,360.0,509.0,202.0,158.0,251.0,174.0,425.0,436.0,163.0,298.0,118.0,542.0,81.0,4089.0
1,126.0,141.0,171.0,299.0,306.0,466.0,168.0,142.0,547.0,508.0,176.0,355.0,444.0,83.0,3849.0
2,516.0,267.0,398.0,117.0,521.0,521.0,113.0,162.0,301.0,655.0,408.0,240.0,783.0,56.0,5002.0
2,506.0,306.0,136.0,229.0,742.0,475.0,117.0,732.0,737.0,243.0,133.0,270.0,219.0,67.0,4845.0
2,216.0,488.0,744.0,708.0,363.0,170.0,189.0,208.0,320.0,178.0,426.0,348.0,104.0,73.0,4462.0
2,158.0,544.0,388.0,270.0,500.0,182.0,436.0,190.0,139.0,251.0,363.0,641.0,162.0,75.0,4224.0
2,453.0,360.0,509.0,202.0,158.0,251.0,174.0,425.0,436.0,163.0,298.0,118.0,542.0,81.0,4089.0
2,126.0,141.0,171.0,299.0,306.0,466.0,168.0,142.0,547.0,508.0,176.0,355.0,444.0,83.0,3849.0
3,516.0,267.0,398.0,117.0,521.0,521.0,113.0,162.0,301.0,655.0,408.0,240.0,783.0,56.0,5002.0
3,506.0,306.0,136.0,229.0,742.0,475.0,117.0,732.0,737.0,243.0,133.0,270.0,219.0,67.0,4845.0
3,216.0,488.0,744.0,708.0,363.0,170.0,189.0,208.0,320.0,178.0,426.0,348.0,104.0,73.0,4462.0
3,158.0,544.0,388.0,270.0,500.0,182.0,436.0,190.0,139.0,251.0,363.0,641.0,162.0,75.0,4224.0
3,453.0,360.0,509.0,202.0,158.0,251.0,174.0,425.0,436.0,163.0,298.0,118.0,542.0,81.0,4089.0
3,126.0,141.0,171.0,299.0,306.0,466.0,168.0,142.0,547.0,508.0,176.0,355.0,444.0,83.0,3849.0
4,516.0,267.0,398.0,117.0,521.0,521.0,113.0,162.0,301.0,655.0,408.0,240.0,783.0,56.0,5002.0
4,506.0,306.0,136.0,229.0,742.0,475.0,117.0,732.0,737.0,243.0,133.0,270.0,219.0,67.0,4845.0
4,216.0,488.0,744.0,708.0,363.0,170.0,189.0,208.0,320.0,178.0,426.0,348.0,104.0,73.0,4462.0
4,158.0,544.0,388.0,270.0,500.0,182.0,436.0,190.0,139.0,251.0,363.0,641.0,162.0,75.0,4224.0
4,453.0,360.0,509.0,202.0,158.0,251.0,174.0,425.0,436.0,163.0,298.0,118.0,542.0,81.0,4089.0
4,126.0,141.0,171.0,299.0,306.0,466.0,168.0,142.0,547.0,508.0,176.0,355.0,444.0,83.0,3849.0
