iterID,x1,x2,x3,x4,Pareto_f1,Pareto_f2
0,47.0,52.0,74.0,79.0,119.0,252.0
0,52.0,57.0,71.0,49.0,128.0,229.0
0,70.0,17.0,69.0,66.0,154.0,222.0
0,68.0,30.0,55.0,54.0,156.0,207.0
0,33.0,54.0,56.0,62.0,158.0,205.0
0,51.0,40.0,32.0,75.0,160.0,198.0
0,38.0,38.0,41.0,68.0,186.0,185.0
0,43.0,19.0,30.0,78.0,203.0,170.0
0,44.0,14.0,35.0,74.0,229.0,167.0
0,12.0,56.0,33.0,60.0,247.0,161.0
0,23.0,46.0,42.0,47.0,251.0,158.0
0,71.0,21.0,24.0,41.0,253.0,157.0
0,15.0,42.0,37.0,52.0,255.0,146.0
0,29.0,49.0,29.0,21.0,280.0,128.0
0,14.0,44.0,14.0,39.0,356.0,111.0
0,17.0,16.0,39.0,20.0,399.0,92.0
0,21.0,23.0,22.0,25.0,410.0,91.0
1,47.0,52.0,74.0,79.0,119.0,252.0
1,52.0,57.0,71.0,49.0,128.0,229.0
1,70.0,17.0,69.0,66.0,154.0,222.0
1,68.0,30.0,55.0,54.0,156.0,207.0
1,33.0,54.0,56.0,62.0,158.0,205.0
1,51.0,40.0,32.0,75.0,160.0,198.0
1,38.0,38.0,41.0,68.0,186.0,185.0
1,43.0,19.0,30.0,78.0,203.0,170.0
1,44.0,14.0,35.0,74.0,229.0,167.0
1,12.0,56.0,33.0,60.0,247.0,161.0
1,23.0,46.0,42.0,47.0,251.0,158.0
1,71.0,21.0,24.0,41.0,253.0,157.0
1,15.0,42.0,37.0,52.0,255.0,146.0
1,10240.0,10240.0,11264.0,80896.0,279.0,110.0
1,10240.0,10240.0,10240.0,80896.0,282.0,109.0
1,10240.0,10240.0,10240.0,78848.0,301.0,107.0
1,17.0,16.0,39.0,20.0,399.0,92.0
1,21.0,23.0,22.0,25.0,410.0,91.0
2,47.0,52.0,74.0,79.0,119.0,252.0
2,52.0,57.0,71.0,49.0,128.0,229.0
2,70.0,17.0,69.0,66.0,154.0,222.0
2,68.0,30.0,55.0,54.0,156.0,207.0
2,33.0,54.0,56.0,62.0,158.0,205.0
2,51.0,40.0,32.0,75.0,160.0,198.0
2,38.0,38.0,41.0,68.0,186.0,185.0
2,43.0,19.0,30.0,78.0,203.0,170.0
2,44.0,14.0,35.0,74.0,229.0,167.0
2,12.0,56.0,33.0,60.0,247.0,161.0
2,23.0,46.0,42.0,47.0,251.0,158.0
2,71.0,21.0,24.0,41.0,253.0,157.0
2,15.0,42.0,37.0,52.0,255.0,146.0
2,10240.0,10240.0,11264.0,80896.0,279.0,110.0
2,10240.0,10240.0,10240.0,80896.0,282.0,109.0
2,10240.0,10240.0,10240.0,79872.0,286.0,108.0
2,10240.0,10240.0,10240.0,78848.0,301.0,107.0
2,17.0,16.0,39.0,20.0,399.0,92.0
2,21.0,23.0,22.0,25.0,410.0,91.0
