iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,ParetoFamily,Pareto_f1,Pareto_f2
1,51.0,147.0,65.0,129.0,83.0,55.0,119.0,41.0,122.0,104.0,77.0,85.0,45.0,0.0,-2027859.1522989457,411428.54005708976
1,102.0,99.0,78.0,123.0,49.0,146.0,166.0,137.0,155.0,136.0,30.0,129.0,43.0,0.0,-1973174.282998636,-661646.8604601135
1,70.0,22.0,148.0,85.0,149.0,156.0,19.0,104.0,99.0,156.0,136.0,134.0,148.0,0.0,-1398020.4275812902,-779910.2888597164
1,96.0,73.0,109.0,63.0,53.0,180.0,54.0,76.0,116.0,167.0,162.0,108.0,121.0,0.0,-1132698.2975850767,-855724.378003095
1,131.0,132.0,74.0,39.0,135.0,53.0,62.0,44.0,28.0,17.0,146.0,95.0,91.0,0.0,-708761.3202362657,-862689.2501829722
1,28.0,153.0,175.0,12.0,85.0,42.0,32.0,168.0,139.0,116.0,58.0,26.0,105.0,0.0,-527539.828402785,-879252.5882289353
1,66.0,64.0,117.0,82.0,164.0,17.0,164.0,63.0,25.0,25.0,58.0,26.0,105.0,0.0,-480467.3454096617,-1099041.3816823184
1,128.0,87.0,100.0,71.0,147.0,140.0,32.0,166.0,177.0,69.0,114.0,55.0,159.0,0.0,-52097.09859360336,-1417997.0065452163
2,38.0,155.0,67.0,172.0,153.0,122.0,140.0,28.0,111.0,125.0,138.0,174.0,110.0,0.0,-1647161.2851944566,16675.319423610694
2,132.0,20.0,27.0,50.0,60.0,11.0,65.0,82.0,176.0,101.0,175.0,146.0,30.0,0.0,-1635464.0956094821,8701.90961104828
2,171.0,51.0,100.0,63.0,145.0,73.0,136.0,91.0,135.0,56.0,151.0,144.0,165.0,0.0,-1598585.9575427906,-10545.895621753807
2,41.0,17.0,86.0,148.0,55.0,70.0,63.0,54.0,65.0,136.0,78.0,82.0,15.0,0.0,-1430680.8022659053,-36028.533820894816
2,93.0,97.0,97.0,67.0,126.0,33.0,99.0,53.0,148.0,63.0,134.0,58.0,163.0,0.0,-1355099.912632612,-41815.64505954877
2,159.0,126.0,180.0,31.0,38.0,116.0,21.0,75.0,87.0,65.0,122.0,91.0,47.0,0.0,-1277822.1680675778,-76623.3100325531
2,38.0,104.0,166.0,158.0,74.0,12.0,32.0,36.0,58.0,130.0,55.0,146.0,30.0,0.0,-823802.0676473987,-90114.01506060752
2,44.0,137.0,115.0,99.0,63.0,74.0,88.0,61.0,100.0,174.0,81.0,103.0,33.0,0.0,-514022.2672159585,-114329.57509815061
3,152.0,122.0,77.0,51.0,107.0,30.0,92.0,32.0,20.0,99.0,94.0,82.0,38.0,0.0,-2222538.7599752145,-107257.95727607708
3,122.0,107.0,104.0,62.0,122.0,162.0,115.0,52.0,78.0,118.0,148.0,172.0,154.0,0.0,-1567191.7757364355,-128338.36172821766
3,102.0,99.0,78.0,111.0,49.0,29.0,56.0,91.0,74.0,125.0,138.0,140.0,68.0,0.0,-1361926.0803980364,-142324.72920206736
3,79.0,154.0,93.0,143.0,102.0,46.0,75.0,179.0,13.0,50.0,166.0,140.0,68.0,0.0,-1318331.9386930228,-308756.31937363493
3,39.0,102.0,120.0,63.0,139.0,66.0,86.0,61.0,155.0,136.0,30.0,115.0,43.0,0.0,-1296125.2822488416,-309558.3337569955
3,19.0,110.0,68.0,95.0,144.0,73.0,131.0,132.0,160.0,142.0,87.0,157.0,125.0,0.0,-1188239.4806837796,-363677.4479852484
3,28.0,25.0,157.0,28.0,164.0,17.0,164.0,63.0,25.0,27.0,74.0,153.0,25.0,0.0,-359230.0293407445,-367473.9633245037
3,40.0,68.0,44.0,25.0,45.0,72.0,44.0,48.0,100.0,165.0,152.0,150.0,21.0,0.0,340979.188907446,-438016.26175747724
4,30.0,62.0,70.0,102.0,89.0,149.0,133.0,146.0,113.0,58.0,134.0,114.0,120.0,0.0,-2.92496333821634,0.7063169510186005
4,164.0,123.0,21.0,17.0,128.0,25.0,123.0,46.0,85.0,20.0,96.0,11.0,46.0,0.0,-2.690186457048113,0.23113842389264988
4,79.0,68.0,44.0,25.0,52.0,119.0,74.0,112.0,138.0,38.0,73.0,74.0,142.0,0.0,-2.6900170435411104,-1.2233622318659043
4,89.0,39.0,95.0,121.0,147.0,73.0,131.0,134.0,160.0,142.0,82.0,157.0,125.0,0.0,-2.116248224821367,-1.4222265075166158
4,93.0,97.0,97.0,62.0,32.0,95.0,16.0,45.0,85.0,175.0,25.0,178.0,145.0,0.0,-1.865268036117574,-2.1743348033781515
4,66.0,73.0,117.0,82.0,164.0,61.0,44.0,62.0,21.0,90.0,43.0,56.0,159.0,0.0,-1.6494238530392706,-2.7316123617024846
