iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,ParetoFamily,Pareto_f1,Pareto_f2
1,74,158,122,46,21,107,70,36,155,28,180,116,116,0.0,-0.022447834777313033,-0.0012733047912256881
1,74,158,122,46,26,107,70,36,155,28,177,116,113,0.0,-0.02243725942817612,-0.00947726777835446
1,132,114,139,54,71,51,161,122,138,103,71,31,122,0.0,-0.02027019833318121,-0.012229105039690994
1,142,23,151,108,88,64,65,30,38,100,145,156,104,0.0,-0.01818599717810292,-0.014927478240697935
1,175,112,99,127,167,136,179,149,64,131,63,164,83,0.0,-0.016287894752523995,-0.016012981869907208
1,175,112,99,127,167,136,179,149,15,157,63,164,83,0.0,-0.014876046156105148,-0.01601311232787371
1,143,155,135,52,28,69,39,121,135,160,61,58,64,0.0,-0.011652583896669488,-0.016237858003600163
1,97,159,26,55,28,151,37,42,114,113,20,27,65,0.0,-0.010600968510780706,-0.016978422944778002
1,97,172,26,17,169,152,37,42,114,113,20,27,65,0.0,-0.010329621672162798,-0.019861555644839955
1,74,166,25,16,10,107,173,127,38,33,22,148,66,0.0,-0.007686570830045886,-0.028633021794788414
1,74,166,25,16,10,107,173,127,38,104,22,148,66,0.0,0.004071110784204476,-0.02863315561837809
1,74,166,25,16,10,107,173,127,48,104,22,148,66,0.0,0.005377588850779559,-0.028633162794755394
2,90,80,120,57,74,108,124,110,155,17,177,53,58,0.0,-0.025285408837751003,0.006904429770793771
2,90,80,120,57,72,108,124,108,155,17,177,54,58,0.0,-0.025285006679011273,0.006904382640614704
2,90,80,120,57,144,108,124,110,155,17,179,53,58,0.0,-0.025284988617514253,0.0068977516662334214
2,90,80,120,57,144,108,124,108,155,17,179,54,58,0.0,-0.02528457496640562,0.00689774512278258
2,90,80,120,57,144,107,124,35,155,17,177,54,59,0.0,-0.025083471150318108,0.006897539083822638
2,90,80,120,57,75,108,124,78,155,17,177,53,99,0.0,-0.024303428459888917,0.006587091424239194
2,65,178,152,174,176,35,136,47,157,121,68,118,97,0.0,-0.0235496087524437,-0.007309806253887396
2,12,158,120,57,64,112,147,40,157,121,173,116,179,0.0,-0.019675200271903597,-0.012738037103832882
2,66,177,58,174,167,90,127,173,32,153,70,108,70,0.0,-0.018502724584360475,-0.0196700641737429
2,52,64,119,57,51,26,126,38,145,121,179,120,174,0.0,-0.018014956728761636,-0.026234285577673887
2,71,166,119,57,75,30,131,50,159,121,64,119,180,0.0,-0.017580634210171794,-0.027131179348590675
2,66,147,119,57,72,114,131,94,160,121,179,158,179,0.0,-0.01708211270983014,-0.02723096537659196
2,66,148,119,57,64,109,131,33,155,121,179,116,179,0.0,-0.014613398723211483,-0.02723136696179936
2,66,148,119,57,57,109,131,33,155,121,179,116,179,0.0,-0.014613287762297415,-0.02723159935611029
2,66,148,119,57,64,108,131,38,155,121,179,116,179,0.0,-0.014348069101927447,-0.027231669044267985
2,66,148,119,57,64,108,131,91,155,121,179,116,179,0.0,-0.014348055266729443,-0.027232374320042774
2,66,148,119,57,64,108,131,93,155,121,179,116,179,0.0,-0.014348054918363523,-0.027232400928681455
2,22,170,100,57,49,26,131,19,145,121,67,120,180,0.0,-0.013275143244461529,-0.027848425966916692
2,14,64,90,57,64,50,131,116,99,121,155,53,179,0.0,-0.012947965990272373,-0.027976178659038235
2,12,66,92,57,64,23,131,50,148,121,179,91,179,0.0,-0.010951639483549979,-0.028016800609625064
2,12,150,110,57,64,23,131,94,155,121,179,157,179,0.0,-0.00977571228363439,-0.028017097199393645
2,10,80,90,57,75,40,131,38,96,121,177,107,179,0.0,-0.0042474430579200854,-0.02803313267542961
3,164,30,17,134,63,47,131,168,87,121,77,32,130,0.0,-0.0268029338800168,0.007166583658699737
3,166,30,17,134,63,65,131,168,87,121,77,32,130,0.0,-0.026775563214293807,-0.018353294915968175
3,82,30,17,134,66,65,131,167,87,121,77,32,131,0.0,-0.024344619005060023,-0.01980167267766137
3,88,30,17,134,67,65,131,167,87,121,77,32,131,0.0,-0.024341011501563876,-0.01980844660512204
3,88,30,17,134,63,65,131,167,87,121,76,32,130,0.0,-0.02432278955871872,-0.019828509621552592
3,88,30,17,134,63,65,131,167,87,121,75,32,130,0.0,-0.02429940463859331,-0.01984879422013594
3,164,30,17,134,63,65,131,167,87,121,77,32,131,0.0,-0.024294909201933845,-0.019893138668917874
3,166,30,17,134,63,65,131,167,87,121,76,32,130,0.0,-0.024274987651776325,-0.01991575940031757
3,88,30,17,134,63,65,131,167,87,121,55,34,122,0.0,-0.022906242797615186,-0.020214618515227857
3,92,30,17,134,58,65,131,167,87,121,55,34,122,0.0,-0.022903553497708198,-0.020218919346191598
3,166,30,17,134,63,65,131,167,87,121,55,36,160,0.0,-0.022891861365237885,-0.020271424830889815
3,166,30,17,134,63,65,131,167,87,121,55,34,130,0.0,-0.022854462441767864,-0.020303688428271155
